,0,1,2,3,4,5
214,2, 62.4 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62.4_m_23_et._1940017984,3450000,2
215,1, 37 , 12,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_1222_et._1947613402,3600000,2 
216,2, 51.1 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.1_m_225_et._1932367620,2782650,1
217,3, 99.9 , 9,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_99.9_m_910_et._1870237364,5990000,2
218,1, 38 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_910_et._1898000550,3690000,2
219,3, 96 , 16,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_96_m_1616_et._1891217323,8200000,2 
220,1, 38 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_114_et._1834640180,2500000,2
221,1, 35 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_35_et._1937760960,2410000,1 
222,2, 53.9 , 14,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_53.9_m_1425_et._1932806268,2966420,1
223,1, 50 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_50_m_910_et._1870677405,4440000,3 
224,2, 46 , 5,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_512_et._1895885941,4050000,1 
225,2, 66 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_66_m_210_et._1948978566,5999999,2 
226,1, 40.8 , 13,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40.8_m_1318_et._1860113659,2700000,1
227,3, 90 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_90_m_35_et._1946785420,6000000,2
